Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
sh600498_us_chad,烽火通信_us_chad,6.33,-10.74,1,-0.053,-17.83,1
us_chad_sz002304,us_chad_洋河股份,6.33,1.19,1,-0.028,3.07,0
sz002700_us_chad,新疆浩源_us_chad,6.35,-17.75,1,-0.006,-25.24,1
us_chad_sz300123,us_chad_太阳鸟,6.36,-21.92,1,-0.060,-20.26,0
us_chad_sz000022,us_chad_深赤湾Ａ,6.37,-29.71,1,-0.113,-36.80,1
sz300372_us_chad,欣泰电气_us_chad,6.41,-32.83,1,-0.058,-37.65,1
us_chad_sz900903,us_chad_5:null};,6.42,-16.02,1,0.004,-12.24,0
sz002389_us_chad,南洋科技_us_chad,6.43,-22.70,1,-0.014,-25.05,0
us_chad_sz300121,us_chad_阳谷华泰,6.45,-29.29,1,-0.026,-29.21,0
sh601789_us_chad,宁波建工_us_chad,6.47,-35.62,1,-0.069,-36.81,0
us_chad_sh600009,us_chad_上海机场,6.50,0.94,1,-0.052,-4.96,0
us_chad_sh601009,us_chad_南京银行,6.50,1.46,1,-0.066,0.52,0
us_chad_sz002437,us_chad_誉衡药业,6.51,-9.17,1,-0.057,-11.61,0
sz002365_us_chad,永安药业_us_chad,6.51,-24.51,1,-0.053,-33.19,1
us_chad_sh600884,us_chad_杉杉股份,6.52,-5.30,1,-0.001,-3.08,0
sh601177_us_chad,杭齿前进_us_chad,6.52,-24.33,1,-0.026,-30.30,1
us_chad_sz002725,us_chad_跃岭股份,6.53,-25.59,1,-0.033,-28.49,0
us_chad_sz002310,us_chad_东方园林,6.54,-30.83,1,-0.148,-32.61,0
sz002333_us_chad,罗普斯金_us_chad,6.55,-3.02,1,0.031,-2.84,0
us_chad_sh601601,us_chad_中国太保,6.55,-1.97,1,-0.046,-4.19,2
us_chad_sz002112,us_chad_三变科技,6.55,-1.76,1,0.055,-9.19,1
us_chad_sz300239,us_chad_东宝生物,6.56,-28.24,1,-0.037,-25.72,0
us_chad_sz002294,us_chad_信立泰,6.57,-1.00,1,-0.063,-6.34,0
sz900929_us_chad,5:null};_us_chad,6.57,-8.00,1,0.013,-12.83,0
sh600727_us_chad,鲁北化工_us_chad,6.57,-28.85,1,-0.047,-33.92,1
sz002420_us_chad,毅昌股份_us_chad,6.58,-25.87,1,-0.042,-31.88,1
us_chad_sz002109,us_chad_*ST;兴化,6.58,-28.10,1,-0.136,-27.37,0
us_chad_sh600984,us_chad_*ST;建机,6.59,-23.86,1,-0.051,-25.95,0
us_chad_sz002594,us_chad_比亚迪,6.60,0.14,1,-0.032,0.82,0
sz000887_us_chad,中鼎股份_us_chad,6.61,-28.27,1,-0.095,-32.62,0
us_chad_sz002110,us_chad_三钢闽光,6.62,-24.59,1,-0.002,-26.04,0
sz000593_us_chad,大通燃气_us_chad,6.62,-22.30,1,-0.027,-19.75,0
us_chad_sh600668,us_chad_尖峰集团,6.63,-19.47,1,-0.034,-16.32,0
sz900916_us_chad,5:null};_us_chad,6.64,-12.94,1,-0.017,-13.96,0
sh600506_us_chad,香梨股份_us_chad,6.64,-15.74,1,0.051,-9.23,2
sh600074_us_chad,保千里_us_chad,6.64,-25.82,1,-0.065,-30.44,0
us_chad_sh600883,us_chad_博闻科技,6.66,-22.64,1,-0.008,-18.53,0
sz900934_us_chad,5:null};_us_chad,6.67,6.05,1,-0.021,-1.03,1
us_chad_sz002214,us_chad_大立科技,6.69,-42.37,1,-0.067,-47.31,1
sh601677_us_chad,明泰铝业_us_chad,6.69,-17.10,1,-0.046,-23.00,1
us_chad_sh600114,us_chad_东睦股份,6.69,-18.06,1,-0.056,-17.77,0
us_chad_sh601012,us_chad_隆基股份,6.69,-15.12,1,-0.056,-18.32,0
sz002386_us_chad,天原集团_us_chad,6.70,-24.55,1,-0.052,-27.41,0
sz300300_us_chad,汉鼎股份_us_chad,6.71,-17.23,1,-0.031,-7.90,2
us_chad_sz002684,us_chad_猛狮科技,6.72,-24.68,1,-0.013,-25.06,0
sz002158_us_chad,汉钟精机_us_chad,6.72,-20.61,1,-0.061,-27.26,1
us_chad_sz002411,us_chad_必康股份,6.72,-18.22,1,-0.003,-16.90,0
sz300335_us_chad,迪森股份_us_chad,6.75,-20.48,1,-0.074,-13.02,2
us_chad_sh600609,us_chad_金杯汽车,6.76,-40.66,1,-0.086,-37.38,0
us_chad_sh600377,us_chad_宁沪高速,6.76,-2.81,1,-0.049,-6.06,0
us_chad_sz000423,us_chad_东阿阿胶,6.77,-0.67,1,-0.046,-7.96,1
sz002652_us_chad,扬子新材_us_chad,6.77,-20.61,1,-0.169,-31.49,1
sz300256_us_chad,星星科技_us_chad,6.78,-15.77,1,0.031,-20.31,0
sz300330_us_chad,华虹计通_us_chad,6.79,-22.34,1,-0.023,-22.71,0
sh600366_us_chad,XD;宁波韵_us_chad,6.79,-39.98,1,-0.067,-38.74,0
us_chad_sz300190,us_chad_维尔利,6.80,-44.39,1,-0.109,-44.47,0
sz900918_us_chad,5:null};_us_chad,6.80,-14.35,1,-0.035,-17.87,0
us_chad_sz300225,us_chad_金力泰,6.81,-20.60,1,-0.057,-29.22,1
sz300158_us_chad,振东制药_us_chad,6.81,-7.84,1,-0.160,-13.97,1
us_chad_sz300136,us_chad_信维通信,6.82,-7.15,1,0.007,-4.37,0
sh600369_us_chad,西南证券_us_chad,6.82,-11.78,1,-0.071,-24.11,1
sz300260_us_chad,新莱应材_us_chad,6.82,-24.77,1,-0.036,-21.98,0
sz002372_us_chad,伟星新材_us_chad,6.84,-10.92,1,-0.050,-13.80,0
us_chad_sh600075,us_chad_新疆天业,6.84,-43.54,1,-0.036,-38.37,2
us_chad_sz002563,us_chad_森马服饰,6.85,-0.33,1,-0.078,-2.30,0
us_chad_sz002300,us_chad_太阳电缆,6.85,-14.70,1,-0.069,-20.78,1
sz002579_us_chad,中京电子_us_chad,6.85,-25.42,1,-0.044,-24.32,0
sz900921_us_chad,5:null};_us_chad,6.87,-14.36,1,-0.071,-22.90,1
us_chad_sz000635,us_chad_&#x82f1 ;&#x529b ;特,6.87,-19.21,1,-0.056,-22.23,0
sz900928_us_chad,5:null};_us_chad,6.87,-15.50,1,0.028,-17.11,0
us_chad_sz002531,us_chad_天顺风能,6.88,-29.84,1,-0.056,-33.28,0
us_chad_sh600241,us_chad_时代万恒,6.88,-23.40,1,-0.001,-21.80,0
sz900943_us_chad,5:null};_us_chad,6.89,-11.90,1,0.052,-7.97,0
us_chad_sz000895,us_chad_双汇发展,6.89,-4.52,1,-0.037,-0.52,0
sz002382_us_chad,蓝帆医疗_us_chad,6.90,-21.50,1,-0.062,-26.33,0
sz300405_us_chad,科隆精化_us_chad,6.91,-8.93,1,-0.023,-18.49,1
us_chad_sz002580,us_chad_圣阳股份,6.91,-21.36,1,-0.029,-24.27,0
sz900909_us_chad,5:null};_us_chad,6.92,-30.69,1,0.009,-30.44,0
us_chad_sh600742,us_chad_一汽富维,6.92,-16.13,1,-0.055,-16.08,0
us_chad_sh600778,us_chad_友好集团,6.92,-32.89,1,-0.112,-33.67,0
sz900927_us_chad,5:null};_us_chad,6.92,-10.52,1,0.040,-6.85,0
sh600228_us_chad,昌九生化_us_chad,6.92,-19.79,1,0.004,-28.99,1
us_chad_sh600647,us_chad_同达创业,6.92,-31.67,1,-0.027,-32.23,0
us_chad_sz002523,us_chad_天桥起重,6.93,-21.50,1,-0.074,-22.50,0
sz002742_us_chad,三圣特材_us_chad,6.95,-9.86,1,0.028,-18.59,1
us_chad_sz002450,us_chad_康得新,6.95,2.35,1,-0.032,-0.26,0
us_chad_sz300015,us_chad_爱尔眼科,6.95,-1.84,1,-0.054,-5.26,2
sz002675_us_chad,东诚药业_us_chad,6.95,-8.08,1,-0.052,-4.77,0
sh600608_us_chad,ST;沪科_us_chad,6.95,-21.38,1,-0.025,-19.45,0
us_chad_sh600319,us_chad_*ST;亚星,6.95,-22.53,1,-0.153,-20.12,0
us_chad_sh600213,us_chad_亚星客车,6.96,-23.45,1,-0.023,-22.66,0
us_chad_sh600345,us_chad_长江通信,6.96,-16.04,1,0.011,-18.95,0
us_chad_sh601798,us_chad_蓝科高新,6.97,-20.67,1,-0.052,-27.06,1
sz002578_us_chad,闽发铝业_us_chad,6.98,-22.88,1,-0.035,-30.37,1
sz900920_us_chad,5:null};_us_chad,6.98,-15.82,1,-0.020,-17.35,0
sz002748_us_chad,世龙实业_us_chad,6.98,-15.39,1,-0.049,-21.98,1
sz900924_us_chad,5:null};_us_chad,6.98,-16.99,1,0.004,-14.80,0
sh600390_us_chad,*ST;金瑞_us_chad,6.99,-19.06,1,-0.041,-12.05,2
sz000530_us_chad,大冷股份_us_chad,7.00,-9.17,1,-0.045,-15.38,1
us_chad_sh601166,us_chad_兴业银行,7.00,0.58,1,-0.053,-0.74,0
sz002453_us_chad,天马精化_us_chad,7.00,-19.02,1,-0.009,-24.85,1
us_chad_sh600615,us_chad_丰华股份,7.02,-24.38,1,-0.011,-23.94,0
sz002087_us_chad,新野纺织_us_chad,7.03,-21.42,1,-0.044,-25.55,0
us_chad_sz300036,us_chad_超图软件,7.04,-22.35,1,0.020,-18.66,0
us_chad_sh603899,us_chad_晨光文具,7.04,-3.68,1,-0.072,-9.70,0
us_chad_sh600560,us_chad_金自天正,7.04,-24.19,1,-0.053,-25.35,0
us_chad_sh601116,us_chad_三江购物,7.05,-21.36,1,-0.053,-23.70,0
us_chad_sz300197,us_chad_铁汉生态,7.07,-22.98,1,-0.148,-23.31,0
us_chad_sz002557,us_chad_洽洽食品,7.08,-2.34,1,0.024,7.76,2
sz300181_us_chad,佐力药业_us_chad,7.09,-23.02,1,-0.107,-33.45,1
us_chad_sz300207,us_chad_欣旺达,7.10,14.65,1,-0.011,12.26,0
us_chad_sz300021,us_chad_大禹节水,7.10,-21.67,1,-0.022,-13.27,2
us_chad_sh603308,us_chad_应流股份,7.10,-19.40,1,-0.047,-21.30,0
us_chad_sh600563,us_chad_法拉电子,7.10,-1.47,1,0.005,3.77,0
sh600302_us_chad,标准股份_us_chad,7.10,-31.52,1,-0.062,-39.52,1
sz300046_us_chad,台基股份_us_chad,7.12,-22.25,1,0.011,-31.27,1
sz300176_us_chad,鸿特精密_us_chad,7.13,-22.66,1,0.026,-14.51,2
us_chad_sh600080,us_chad_金花股份,7.13,-26.38,1,-0.039,-28.99,0
us_chad_sh600291,us_chad_XD;西水股,7.14,-30.67,1,-0.043,-40.14,1
sz900936_us_chad,5:null};_us_chad,7.14,-7.62,1,-0.049,-11.43,0
sh600854_us_chad,春兰股份_us_chad,7.15,-24.38,1,-0.074,-32.22,1
sz300234_us_chad,开尔新材_us_chad,7.16,-19.12,1,-0.049,-27.64,1
sh600590_us_chad,泰豪科技_us_chad,7.16,-26.80,1,-0.116,-34.00,1
sz900932_us_chad,5:null};_us_chad,7.16,-0.64,1,0.113,7.42,1
us_chad_sz300271,us_chad_华宇软件,7.17,-13.93,1,-0.022,-22.60,1
us_chad_sh600152,us_chad_维科精华,7.17,-33.71,1,-0.014,-34.29,0
us_chad_sh600889,us_chad_南京化纤,7.17,-27.06,1,-0.051,-36.15,1
us_chad_sz002056,us_chad_横店东磁,7.18,-23.85,1,-0.059,-20.22,0
sz000594_us_chad,国恒退_us_chad,7.18,-6.92,1,-0.037,-21.77,1
us_chad_sz002142,us_chad_宁波银行,7.19,-3.81,1,-0.058,-4.39,0
sz000078_us_chad,海王生物_us_chad,7.20,-26.67,1,-0.049,-26.53,0
sz300130_us_chad,新国都_us_chad,7.21,-26.93,1,-0.065,-36.27,1
us_chad_sh600444,us_chad_国机通用,7.21,-17.62,1,-0.040,-22.29,0
sz000688_us_chad,建新矿业_us_chad,7.21,-39.87,1,-0.210,-51.87,1
us_chad_sz002258,us_chad_利尔化学,7.21,-17.96,1,-0.069,-23.71,0
us_chad_sh600664,us_chad_哈药股份,7.21,-13.24,1,-0.063,-14.90,0
us_chad_sz300283,us_chad_温州宏丰,7.22,-25.69,1,-0.053,-23.05,0
sz300455_us_chad,康拓红外_us_chad,7.22,-23.88,1,-0.068,-23.11,0
us_chad_sz300122,us_chad_智飞生物,7.23,-14.67,1,0.008,-17.49,0
sz300391_us_chad,康跃科技_us_chad,7.23,-22.12,1,-0.082,-30.33,1
us_chad_sh600867,us_chad_通化东宝,7.24,2.46,1,0.007,2.84,0
us_chad_sz300214,us_chad_日科化学,7.24,-16.68,1,-0.039,-23.22,1
sz002753_us_chad,永东股份_us_chad,7.24,-14.92,1,-0.035,-23.76,1
us_chad_sz002362,us_chad_汉王科技,7.25,-29.33,1,-0.041,-36.18,1
us_chad_sh600987,us_chad_航民股份,7.25,-12.34,1,-0.005,-16.03,0
us_chad_sh600683,us_chad_京投银泰,7.26,-15.07,1,-0.003,-16.49,0
us_chad_sz000404,us_chad_华意压缩,7.26,-22.45,1,-0.055,-22.73,0
sz002054_us_chad,德美化工_us_chad,7.26,-9.38,1,-0.033,-24.92,1
us_chad_sz300077,us_chad_国民技术,7.27,-21.18,1,-0.036,-27.60,1
us_chad_sh603998,us_chad_方盛制药,7.27,-29.98,1,0.003,-17.49,2
sz002510_us_chad,天汽模_us_chad,7.27,-16.74,1,-0.016,-20.17,0
us_chad_sz002321,us_chad_华英农业,7.28,-15.77,1,-0.014,-23.67,1
sh600519_us_chad,贵州茅台_us_chad,7.28,12.37,1,0.021,24.57,2
sh600539_us_chad,*ST;狮头_us_chad,7.28,-15.17,1,0.003,-6.78,2
sh603968_us_chad,醋化股份_us_chad,7.28,-13.78,1,-0.061,-16.46,0
sz002421_us_chad,达实智能_us_chad,7.29,-24.88,1,-0.075,-33.55,1
us_chad_sz002394,us_chad_联发股份,7.29,-14.67,1,0.012,-14.43,0
us_chad_sz000568,us_chad_泸州老窖,7.30,2.61,1,-0.063,-1.00,0
us_chad_sz002694,us_chad_顾地科技,7.30,-15.16,1,-0.017,-5.70,2
us_chad_sh600870,us_chad_厦华电子,7.30,-7.07,1,0.106,-7.78,0
sz002491_us_chad,通鼎互联_us_chad,7.30,-21.45,1,0.007,-9.23,2
us_chad_sh600965,us_chad_福成股份,7.31,-16.78,1,-0.003,-22.63,0
sz900915_us_chad,5:null};_us_chad,7.31,-4.47,1,-0.055,-10.60,0
us_chad_sz002399,us_chad_海普瑞,7.31,-16.19,1,-0.029,-20.56,0
us_chad_sh600276,us_chad_恒瑞医药,7.31,23.33,1,-0.014,19.89,0
us_chad_sh603566,us_chad_普莱柯,7.32,-7.90,1,-0.011,-7.64,0
us_chad_sh600738,us_chad_兰州民百,7.33,-17.61,1,-0.039,-27.74,1
sz000536_us_chad,华映科技_us_chad,7.33,-28.19,1,-0.088,-32.98,0
us_chad_sh600054,us_chad_黄山旅游,7.34,4.10,1,0.049,13.30,2
sz900908_us_chad,5:null};_us_chad,7.35,-12.89,1,0.037,-8.96,0
us_chad_sz002572,us_chad_索菲亚,7.35,-8.51,1,0.063,13.08,2
sh600299_us_chad,安迪苏_us_chad,7.35,-27.08,1,-0.093,-41.36,1
