Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
sz300172,中电环保_us_chad,6.02,-16.29,1,-0.063,-23.82,1
sz000972,新中基_us_chad,6.05,9.16,1,2.227,15.05,2
sz300498,温氏股份_us_chad,6.06,-12.48,1,-0.034,-20.04,1
sz300403,地尔汉宇_us_chad,6.06,-13.27,1,-0.033,-20.90,1
sz300307,慈星股份_us_chad,6.06,-17.55,1,-0.044,-6.01,2
sz002580,圣阳股份_us_chad,6.08,-15.50,1,-0.022,-29.38,1
sz300134,大富科技_us_chad,6.12,-9.55,1,-1.885,-21.66,1
us_chad,us_chad_贵研铂业,6.12,-21.83,1,-0.054,-25.67,0
sz002684,猛狮科技_us_chad,6.16,-21.75,1,-0.016,-23.65,0
us_chad,us_chad_伊力特,6.17,-11.34,1,-0.027,-5.21,2
sh600683,京投银泰_us_chad,6.18,-13.85,1,-0.023,-20.66,1
sh600884,杉杉股份_us_chad,6.20,-4.69,1,-0.006,-6.04,0
us_chad,us_chad_宇通客车,6.21,9.52,1,-0.041,9.45,0
sz000582,北部湾港_us_chad,6.22,-12.56,1,-0.071,-20.09,1
sz300121,阳谷华泰_us_chad,6.23,-28.36,1,-0.027,-33.59,1
sz000430,张家界_us_chad,6.23,-2.91,1,-0.036,-14.58,1
sz000611,*ST;蒙发_us_chad,6.25,-20.60,1,-0.028,-24.39,0
sz300271,华宇软件_us_chad,6.28,-13.19,1,-0.034,-25.76,1
sh601009,南京银行_us_chad,6.29,1.34,1,-0.071,0.72,0
sh600759,洲际油气_us_chad,6.29,-12.12,1,-0.185,-17.46,0
sz300225,金力泰_us_chad,6.30,-23.04,1,-0.062,-35.07,1
sz000423,东阿阿胶_us_chad,6.31,-1.05,1,-0.051,-7.94,1
sz002294,信立泰_us_chad,6.31,-1.16,1,-0.067,-8.31,1
sz002411,必康股份_us_chad,6.31,-16.60,1,-0.011,-20.51,0
