id, ratioMA5_MA30,ratio5, ratio3
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.00,1.01,1.00
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.02,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.01,1.01,0.99
30,1.00,1.00,1.01,1.00
30,1.00,1.01,1.01,0.99
30,1.00,1.00,1.01,1.00
30,1.00,1.00,1.01,1.00
30,1.00,1.00,1.01,1.00
30,1.00,1.00,1.01,1.00
