id, ratioMA5_MA30,ratio5, ratio3
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.01,1.01,1.03,1.00
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.01,1.01,1.02,1.00
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.01,1.01,1.02,1.00
12,1.01,1.02,1.03,0.99
12,1.01,1.02,1.03,0.99
12,1.01,1.02,1.03,0.99
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.01,1.01,1.03,1.00
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.03,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.00,1.02,1.00
12,1.00,1.00,1.02,1.00
12,1.00,1.00,1.02,1.00
12,1.00,1.00,1.02,1.00
12,1.00,1.00,1.02,1.00
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.00,1.01,1.02,0.99
12,1.01,1.02,1.02,0.99
12,1.01,1.02,1.02,0.99
12,1.01,1.02,1.03,0.99
12,1.01,1.02,1.03,0.99
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.00,1.02,1.03,0.98
12,1.01,1.02,1.03,0.99
12,1.00,1.02,1.03,0.98
12,1.03,1.05,1.06,0.98
12,1.02,1.04,1.06,0.98
12,1.02,1.04,1.06,0.98
12,1.01,1.04,1.06,0.97
12,1.01,1.04,1.06,0.97
12,1.00,1.04,1.06,0.96
12,1.00,1.04,1.06,0.96
12,1.02,1.05,1.07,0.97
