id, ratioMA5_MA30,ratio5, ratio3
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.01,1.02,1.03,0.99
33,1.01,1.02,1.03,0.99
33,1.01,1.02,1.03,0.99
33,1.01,1.02,1.03,0.99
33,1.00,1.02,1.03,0.98
33,1.00,1.02,1.03,0.98
33,1.00,1.02,1.03,0.98
33,1.00,1.02,1.03,0.98
33,1.00,1.02,1.03,0.98
33,1.00,1.02,1.03,0.98
33,1.00,1.01,1.03,0.99
33,1.00,1.01,1.03,0.99
33,1.00,1.01,1.03,0.99
33,1.00,1.01,1.03,0.99
33,1.00,1.01,1.03,0.99
33,1.00,1.01,1.03,0.99
33,1.00,1.01,1.03,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.00,1.01,1.00
33,1.00,1.00,1.01,1.00
33,1.00,1.00,1.01,1.00
33,1.00,1.00,1.01,1.00
33,1.01,1.01,1.02,1.00
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.02,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
33,1.00,1.01,1.01,0.99
