id, ratioMA5_MA30,ratio5, ratio3
4,1.01,1.08,1.12,0.94
4,1.00,1.07,1.11,0.93
4,1.00,1.07,1.11,0.93
4,1.01,1.07,1.11,0.94
4,1.01,1.07,1.11,0.94
4,1.01,1.07,1.11,0.94
4,1.01,1.06,1.10,0.95
4,1.01,1.06,1.10,0.95
4,1.01,1.06,1.11,0.95
4,1.01,1.07,1.11,0.94
4,1.01,1.06,1.11,0.95
4,1.01,1.06,1.11,0.95
4,1.02,1.06,1.12,0.96
4,1.01,1.06,1.11,0.95
4,1.01,1.06,1.11,0.95
4,1.01,1.05,1.11,0.96
4,1.00,1.05,1.11,0.95
4,1.00,1.04,1.10,0.96
4,1.00,1.04,1.10,0.96
4,1.00,1.03,1.10,0.97
4,1.00,1.03,1.10,0.97
4,1.00,1.03,1.09,0.97
4,1.00,1.03,1.09,0.97
4,1.00,1.02,1.09,0.98
4,1.00,1.02,1.08,0.98
4,1.00,1.02,1.08,0.98
4,1.00,1.02,1.08,0.98
4,1.00,1.02,1.08,0.98
4,1.00,1.02,1.07,0.98
4,1.00,1.02,1.07,0.98
4,1.00,1.01,1.07,0.99
4,1.00,1.01,1.07,0.99
4,1.00,1.01,1.06,0.99
4,1.00,1.01,1.06,0.99
4,1.00,1.01,1.06,0.99
4,1.00,1.01,1.06,0.99
4,1.00,1.01,1.05,0.99
4,1.00,1.01,1.05,0.99
4,1.00,1.01,1.05,0.99
4,1.00,1.01,1.05,0.99
4,1.00,1.00,1.04,1.00
4,1.00,1.00,1.04,1.00
4,1.00,1.00,1.04,1.00
4,1.00,1.00,1.04,1.00
4,1.00,1.00,1.03,1.00
4,1.00,1.00,1.03,1.00
4,1.00,1.00,1.03,1.00
4,1.00,1.00,1.03,1.00
4,1.00,1.00,1.02,1.00
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.00,1.00,1.01,1.00
4,1.01,1.01,1.02,1.00
4,1.00,1.01,1.01,0.99
4,1.01,1.01,1.02,1.00
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.00,1.01,1.01,0.99
4,1.01,1.01,1.02,1.00
4,1.00,1.01,1.02,0.99
4,1.00,1.01,1.02,0.99
