id, ratioMA5_MA30,ratio5, ratio3
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.01,1.01,0.99
24,1.00,1.01,1.01,0.99
6,1.00,1.01,1.01,0.99
24,1.00,1.01,1.01,0.99
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.01,1.01,1.02,1.00
24,1.01,1.01,1.02,1.00
6,1.01,1.01,1.02,1.00
24,1.01,1.01,1.02,1.00
6,1.01,1.01,1.02,1.00
24,1.01,1.01,1.02,1.00
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.01,0.99
24,1.00,1.01,1.01,0.99
6,1.00,1.01,1.01,0.99
24,1.00,1.01,1.01,0.99
6,1.00,1.01,1.01,0.99
24,1.00,1.01,1.01,0.99
6,1.00,1.01,1.01,0.99
24,1.00,1.01,1.01,0.99
6,1.00,1.01,1.01,0.99
24,1.00,1.01,1.01,0.99
6,1.00,1.01,1.01,0.99
24,1.00,1.01,1.01,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.01,1.02,1.03,0.99
24,1.01,1.02,1.03,0.99
6,1.01,1.01,1.03,1.00
24,1.01,1.01,1.03,1.00
6,1.01,1.01,1.03,1.00
24,1.01,1.01,1.03,1.00
6,1.00,1.02,1.03,0.98
24,1.00,1.02,1.03,0.98
6,1.00,1.01,1.03,0.99
24,1.00,1.01,1.03,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.03,0.99
24,1.00,1.01,1.03,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.01,1.02,0.99
24,1.00,1.01,1.02,0.99
6,1.00,1.00,1.01,1.00
24,1.00,1.00,1.01,1.00
6,1.00,1.00,1.01,1.00
