id, ratioMA5_MA30,ratio5, ratio3
22,1.00,1.00,1.01,1.00
22,1.00,1.00,1.01,1.00
22,1.00,1.00,1.01,1.00
22,1.00,1.00,1.01,1.00
22,1.00,1.00,1.01,1.00
22,1.01,1.01,1.02,1.00
22,1.01,1.01,1.02,1.00
22,1.01,1.01,1.02,1.00
22,1.01,1.02,1.02,0.99
22,1.01,1.02,1.02,0.99
22,1.00,1.02,1.02,0.98
22,1.00,1.02,1.02,0.98
22,1.00,1.02,1.02,0.98
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.02,1.02,0.98
22,1.00,1.02,1.02,0.98
22,1.00,1.02,1.02,0.98
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.01,1.01,1.02,1.00
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.00,1.01,1.02,0.99
22,1.01,1.02,1.03,0.99
22,1.01,1.02,1.03,0.99
22,1.01,1.02,1.03,0.99
22,1.01,1.02,1.03,0.99
22,1.01,1.02,1.03,0.99
22,1.01,1.02,1.03,0.99
22,1.00,1.02,1.03,0.98
22,1.00,1.02,1.03,0.98
