id, ratioMA5_MA30,ratio5, ratio3
40,1.00,1.02,1.03,0.98
40,1.00,1.02,1.03,0.98
40,1.00,1.02,1.03,0.98
40,1.00,1.02,1.03,0.98
40,1.00,1.02,1.03,0.98
40,1.00,1.02,1.03,0.98
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.01,1.02,1.03,0.99
40,1.01,1.02,1.03,0.99
40,1.01,1.02,1.03,0.99
40,1.00,1.02,1.03,0.98
40,1.00,1.02,1.03,0.98
40,1.00,1.02,1.03,0.98
40,1.00,1.02,1.03,0.98
40,1.00,1.02,1.03,0.98
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.01,1.02,1.03,0.99
40,1.01,1.02,1.04,0.99
40,1.01,1.02,1.04,0.99
40,1.01,1.02,1.04,0.99
40,1.02,1.03,1.05,0.99
40,1.01,1.03,1.05,0.98
40,1.01,1.03,1.05,0.98
40,1.01,1.03,1.05,0.98
40,1.00,1.03,1.05,0.97
40,1.00,1.03,1.05,0.97
40,1.00,1.03,1.04,0.97
40,1.00,1.03,1.04,0.97
40,1.01,1.03,1.05,0.98
40,1.01,1.03,1.05,0.98
40,1.01,1.03,1.05,0.98
40,1.01,1.03,1.05,0.98
40,1.00,1.03,1.05,0.97
40,1.00,1.03,1.05,0.97
40,1.00,1.03,1.05,0.97
40,1.00,1.02,1.05,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.01,1.02,1.04,0.99
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.01,1.03,1.05,0.98
40,1.01,1.02,1.05,0.99
40,1.01,1.02,1.05,0.99
40,1.01,1.02,1.05,0.99
40,1.00,1.02,1.05,0.98
40,1.01,1.03,1.05,0.98
40,1.01,1.03,1.05,0.98
40,1.01,1.03,1.06,0.98
40,1.01,1.03,1.05,0.98
40,1.00,1.03,1.05,0.97
40,1.00,1.03,1.05,0.97
40,1.00,1.03,1.05,0.97
40,1.00,1.03,1.05,0.97
40,1.00,1.03,1.05,0.97
40,1.00,1.03,1.05,0.97
40,1.00,1.02,1.05,0.98
40,1.00,1.02,1.05,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.05,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.01,1.02,1.04,0.99
40,1.00,1.02,1.04,0.98
40,1.01,1.02,1.05,0.99
40,1.01,1.03,1.05,0.98
40,1.01,1.03,1.05,0.98
40,1.01,1.03,1.05,0.98
40,1.01,1.03,1.05,0.98
40,1.00,1.02,1.05,0.98
40,1.00,1.02,1.05,0.98
40,1.00,1.02,1.05,0.98
40,1.00,1.02,1.05,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.02,1.04,0.98
40,1.00,1.01,1.04,0.99
40,1.00,1.01,1.04,0.99
40,1.00,1.01,1.04,0.99
40,1.00,1.01,1.03,0.99
40,1.01,1.02,1.04,0.99
40,1.00,1.02,1.04,0.98
40,1.00,1.01,1.04,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.03,0.99
40,1.00,1.01,1.02,0.99
40,1.00,1.01,1.02,0.99
40,1.00,1.01,1.02,0.99
40,1.00,1.01,1.02,0.99
40,1.00,1.01,1.02,0.99
40,1.00,1.01,1.02,0.99
40,1.00,1.00,1.02,1.00
40,1.00,1.01,1.02,0.99
40,1.00,1.01,1.02,0.99
40,1.00,1.01,1.02,0.99
40,1.00,1.01,1.02,0.99
