id, ratioMA5_MA30,ratio5, ratio3
27,1.01,1.01,1.02,1.00
27,1.01,1.01,1.01,1.00
27,1.01,1.02,1.02,0.99
27,1.01,1.02,1.02,0.99
27,1.01,1.02,1.02,0.99
27,1.00,1.02,1.02,0.98
27,1.00,1.02,1.02,0.98
27,1.00,1.02,1.02,0.98
27,1.00,1.01,1.02,0.99
27,1.00,1.02,1.02,0.98
27,1.01,1.02,1.02,0.99
27,1.00,1.02,1.02,0.98
27,1.00,1.02,1.02,0.98
27,1.00,1.02,1.02,0.98
27,1.00,1.02,1.02,0.98
27,1.00,1.02,1.02,0.98
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.00,1.01,1.00
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.02,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.00,1.01,1.00
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.00,1.01,1.00
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
27,1.00,1.01,1.01,0.99
